App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Negative,Neutral,Positive,AVG_Pol,AVG_Sub,Last Updated Mois,Last Updated Jour,Last Updated Annee
Garena Free Fire,GAME,4.5,5476569.0,54272.0,100000000,Free,0.0,Teen,Action,"August 3, 2018",81.0,5.0,154.0,0.07,0.49,August,3,2018
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212.0,41984.0,100000,Free,0.0,Mature 17+,Dating,"June 20, 2018",16.0,12.0,52.0,0.2,0.64,June,20,2018
Genius Scan - PDF Scanner,BUSINESS,4.4,42492.0,22032.55340623291,1000000,Free,0.0,Everyone,Business,"July 11, 2018",1.0,1.0,11.0,0.24,0.52,July,11,2018
Girls Live Chat - Free Text & Video Chat,DATING,4.8,110.0,5017.6,10000,Free,0.0,Mature 17+,Dating,"July 9, 2018",0.0,0.0,0.0,0.0,0.0,July,9,2018
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154.0,22032.55340623291,10000000,Free,0.0,Everyone,Communication,"July 29, 2018",0.0,0.0,0.0,0.0,0.0,July,29,2018
Gmail,COMMUNICATION,4.3,4604324.0,22032.55340623291,1000000000,Free,0.0,Everyone,Communication,"August 2, 2018",22.0,9.0,49.0,0.07,0.47,August,2,2018
Golfshot: Golf GPS + Tee Times,SPORTS,4.3,7543.0,25600.0,500000,Free,0.0,Everyone,Sports,"July 11, 2018",6.0,14.0,60.0,0.34,0.46,July,11,2018
Google Ads,BUSINESS,4.3,29313.0,20480.0,5000000,Free,0.0,Everyone,Business,"July 30, 2018",18.0,13.0,49.0,0.14,0.43,July,30,2018
Google Analytics,BUSINESS,4.5,78662.0,22528.0,1000000,Free,0.0,Everyone,Business,"February 13, 2018",0.0,0.0,0.0,0.0,0.0,February,13,2018
Google Classroom,EDUCATION,4.2,69498.0,22032.55340623291,10000000,Free,0.0,Everyone,Education,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
Google Docs,PRODUCTIVITY,4.3,815974.0,22032.55340623291,100000000,Free,0.0,Everyone,Productivity,"August 6, 2018",0.0,0.0,0.0,0.0,0.0,August,6,2018
Google Drive,PRODUCTIVITY,4.4,2731211.0,22032.55340623291,1000000000,Free,0.0,Everyone,Productivity,"August 6, 2018",0.0,0.0,0.0,0.0,0.0,August,6,2018
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237.0,22032.55340623291,500000000,Free,0.0,Everyone,Communication,"July 31, 2018",2.0,1.0,15.0,0.29,0.5,July,31,2018
Google Keep,PRODUCTIVITY,4.4,691474.0,22032.55340623291,100000000,Free,0.0,Everyone,Productivity,"August 6, 2018",30.0,9.0,81.0,0.1,0.49,August,6,2018
Google My Business,BUSINESS,4.4,70991.0,22032.55340623291,5000000,Free,0.0,Everyone,Business,"July 24, 2018",9.0,39.0,72.0,0.27,0.45,July,24,2018
Google News,NEWS_AND_MAGAZINES,3.9,877635.0,13312.0,1000000000,Free,0.0,Teen,News & Magazines,"August 1, 2018",39.0,0.0,81.0,0.09,0.5,August,1,2018
Google PDF Viewer,PRODUCTIVITY,4.2,226456.0,22032.55340623291,10000000,Free,0.0,Everyone,Productivity,"October 9, 2017",22.0,14.0,44.0,0.1,0.44,October,9,2017
Google Pay,FINANCE,4.2,347838.0,22032.55340623291,100000000,Free,0.0,Everyone,Finance,"July 26, 2018",30.0,6.0,84.0,0.12,0.51,July,26,2018
Google Voice,COMMUNICATION,4.2,171031.0,22032.55340623291,10000000,Free,0.0,Everyone,Communication,"August 3, 2018",0.0,4.0,4.0,0.15,0.2,August,3,2018
"Groupon - Shop Deals, Discounts & Coupons",SHOPPING,4.6,1370749.0,22032.55340623291,50000000,Free,0.0,Teen,Shopping,"August 3, 2018",10.0,15.0,95.0,0.29,0.47,August,3,2018
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944.0,35840.0,5000000,Free,0.0,Everyone,Food & Drink,"August 2, 2018",20.0,16.0,44.0,0.12,0.47,August,2,2018
Gyft - Mobile Gift Card Wallet,SHOPPING,4.1,9701.0,14336.0,500000,Free,0.0,Everyone,Shopping,"July 25, 2018",48.0,18.0,54.0,-0.03,0.53,July,25,2018
HBO NOW: Stream TV & Movies,ENTERTAINMENT,3.9,61201.0,22032.55340623291,10000000,Free,0.0,Teen,Entertainment,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387.0,20480.0,1000000,Free,0.0,Teen,Entertainment,"July 16, 2018",10.0,2.0,49.0,0.21,0.52,July,16,2018
Haystack TV: Local & World News - Free,NEWS_AND_MAGAZINES,4.3,3684.0,22032.55340623291,100000,Free,0.0,Everyone 10+,News & Magazines,"August 2, 2018",0.0,2.0,13.0,0.53,0.55,August,2,2018
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563.0,39936.0,10000000,Free,0.0,Everyone,Health & Fitness,"July 23, 2018",0.0,2.0,9.0,0.23,0.42,July,23,2018
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895.0,3379.2,500000,Free,0.0,Everyone,Health & Fitness,"July 15, 2018",6.0,18.0,116.0,0.39,0.52,July,15,2018
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556.0,57344.0,100000,Free,0.0,Mature 17+,Dating,"August 1, 2018",29.0,17.0,74.0,0.03,0.56,August,1,2018
Hinge: Dating & Relationships,DATING,4.2,7779.0,12288.0,500000,Free,0.0,Mature 17+,Dating,"August 3, 2018",11.0,7.0,62.0,0.16,0.5,August,3,2018
HipChat - Chat Built for Teams,BUSINESS,3.8,5868.0,20480.0,500000,Free,0.0,Everyone,Business,"July 3, 2018",40.0,21.0,19.0,-0.04,0.37,July,3,2018
"Hole19: Golf GPS App, Rangefinder & Scorecard",SPORTS,4.4,6106.0,22032.55340623291,100000,Free,0.0,Everyone,Sports,"August 1, 2018",0.0,1.0,18.0,0.44,0.61,August,1,2018
Honkai Impact 3rd,GAME,4.7,59017.0,83968.0,1000000,Free,0.0,Teen,Action,"July 3, 2018",22.0,0.0,58.0,0.1,0.52,July,3,2018
Hospitalist Handbook,MEDICAL,4.8,12.0,18432.0,1000,Paid,19.99,Everyone,Medical,"June 5, 2017",0.0,0.0,0.0,0.0,0.0,June,5,2017
Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878.0,28672.0,1000000,Free,0.0,Everyone,Travel & Local,"July 16, 2018",12.0,11.0,57.0,0.25,0.58,July,16,2018
Hot or Not - Find someone right now,DATING,4.1,305708.0,22032.55340623291,10000000,Free,0.0,Mature 17+,Dating,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
HotelTonight: Book amazing deals at great hotels,TRAVEL_AND_LOCAL,4.4,57573.0,22032.55340623291,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",17.0,17.0,146.0,0.33,0.55,July,31,2018
Houzz Interior Design Ideas,HOUSE_AND_HOME,4.6,353813.0,22032.55340623291,10000000,Free,0.0,Everyone,House & Home,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Howlr,DATING,3.9,105.0,27648.0,5000,Free,0.0,Mature 17+,Dating,"June 19, 2018",0.0,0.0,0.0,0.0,0.0,June,19,2018
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4.0,319691.0,22032.55340623291,10000000,Free,0.0,Teen,Entertainment,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921.0,25600.0,100000,Paid,24.99,Everyone,Medical,"May 25, 2018",0.0,0.0,0.0,0.0,0.0,May,25,2018
IBM Micromedex Drug Info,MEDICAL,3.8,206.0,9728.0,10000,Paid,2.99,Everyone,Medical,"April 25, 2018",0.0,0.0,0.0,0.0,0.0,April,25,2018
IMDb Movies & TV,ENTERTAINMENT,4.2,501498.0,12288.0,100000000,Free,0.0,Teen,Entertainment,"July 26, 2018",0.0,0.0,0.0,0.0,0.0,July,26,2018
"Ibotta: Cash Back Savings, Rewards & Coupons App",SHOPPING,4.5,315908.0,53248.0,10000000,Free,0.0,Everyone,Shopping,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Inside Out Thought Bubbles,FAMILY,4.4,623398.0,59392.0,10000000,Free,0.0,Everyone,Puzzle;Brain Games,"August 31, 2017",0.0,0.0,0.0,0.0,0.0,August,31,2017
Insightly CRM,BUSINESS,3.8,1383.0,52224.0,100000,Free,0.0,Everyone,Business,"July 12, 2018",0.0,0.0,0.0,0.0,0.0,July,12,2018
Instagram,SOCIAL,4.5,66577313.0,22032.55340623291,1000000000,Free,0.0,Teen,Social,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Invoice & Time Tracking - Zoho,BUSINESS,4.6,5800.0,8806.4,100000,Free,0.0,Everyone,Business,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Invoice 2go — Professional Invoices and Estimates,BUSINESS,4.2,16422.0,28672.0,1000000,Free,0.0,Everyone,Business,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
JH Blood Pressure Monitor,MEDICAL,3.7,9.0,2969.6,500,Free,0.0,Everyone,Medical,"July 21, 2018",0.0,0.0,0.0,0.0,0.0,July,21,2018
JackThreads: Men's Shopping,SHOPPING,4.0,13085.0,2764.8,1000000,Free,0.0,Teen,Shopping,"November 8, 2017",0.0,0.0,0.0,0.0,0.0,November,8,2017
"Jaumo Dating, Flirt & Live Video",SOCIAL,4.4,900064.0,13312.0,10000000,Free,0.0,Mature 17+,Social,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Jewels Star: OZ adventure,GAME,4.5,21892.0,14336.0,1000000,Free,0.0,Everyone,Puzzle,"December 29, 2017",0.0,0.0,0.0,0.0,0.0,December,29,2017
Journal Club: Medicine,MEDICAL,4.8,216.0,22032.55340623291,10000,Paid,6.99,Everyone,Medical,"June 17, 2017",0.0,0.0,0.0,0.0,0.0,June,17,2017
Just She - Top Lesbian Dating,DATING,1.9,953.0,19456.0,100000,Free,0.0,Mature 17+,Dating,"July 18, 2018",0.0,0.0,0.0,0.0,0.0,July,18,2018
"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388.0,19456.0,10000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527.0,22032.55340623291,100000000,Free,0.0,Everyone,Communication,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Khan Academy,EDUCATION,4.6,85375.0,21504.0,5000000,Free,0.0,Everyone,Education,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
Kick the Buddy,GAME,4.3,1000417.0,22032.55340623291,50000000,Free,0.0,Teen,Action,"July 5, 2018",0.0,0.0,0.0,0.0,0.0,July,5,2018
Kids Balloon Pop Game Free 🎈,FAMILY,4.1,38021.0,19456.0,10000000,Free,0.0,Everyone,Casual;Music & Video,"July 6, 2018",0.0,0.0,0.0,0.0,0.0,July,6,2018
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289.0,22032.55340623291,500000000,Free,0.0,Everyone,Communication,"July 26, 2018",0.0,0.0,0.0,0.0,0.0,July,26,2018
LOVOO,SOCIAL,4.0,852455.0,69632.0,10000000,Free,0.0,Mature 17+,Social,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Lark - 24/7 Health Coach,HEALTH_AND_FITNESS,4.1,3405.0,52224.0,100000,Free,0.0,Everyone,Health & Fitness,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Learn 50 languages,EDUCATION,4.4,55256.0,14336.0,5000000,Free,0.0,Everyone,Education,"June 19, 2018",0.0,0.0,0.0,0.0,0.0,June,19,2018
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4.7,1107903.0,22032.55340623291,10000000,Free,0.0,Everyone,Education,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4.0,35931.0,19456.0,1000000,Free,0.0,Teen,Entertainment,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
Live Girls Talk - Free Video Chat,DATING,4.8,125.0,4812.8,5000,Free,0.0,Mature 17+,Dating,"July 8, 2018",0.0,0.0,0.0,0.0,0.0,July,8,2018
Live Talk - Free Text and Video Chat,DATING,4.6,185.0,5120.0,10000,Free,0.0,Mature 17+,Dating,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
LivingSocial - Local Deals,SHOPPING,4.1,28523.0,29696.0,5000000,Free,0.0,Everyone,Shopping,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Lose It! - Calorie Counter,HEALTH_AND_FITNESS,4.4,69395.0,22032.55340623291,10000000,Free,0.0,Everyone,Health & Fitness,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Lumosity: #1 Brain Games & Cognitive Training App,EDUCATION,4.2,215301.0,22032.55340623291,10000000,Free,0.0,Everyone,Education,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Lynda - Online Training Videos,EDUCATION,4.2,8599.0,17408.0,1000000,Free,0.0,Everyone,Education,"July 11, 2018",0.0,0.0,0.0,0.0,0.0,July,11,2018
MLB At Bat,SPORTS,4.2,82882.0,22032.55340623291,5000000,Free,0.0,Everyone,Sports,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
MLB At Bat,SPORTS,4.2,82883.0,22032.55340623291,5000000,Free,0.0,Everyone,Sports,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
MTV,ENTERTAINMENT,3.8,35279.0,15360.0,1000000,Free,0.0,Teen,Entertainment,"July 8, 2018",0.0,0.0,0.0,0.0,0.0,July,8,2018
Magic Tiles 3,GAME,4.5,592504.0,22032.55340623291,50000000,Free,0.0,Everyone,Music,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
"MailChimp - Email, Marketing Automation",BUSINESS,4.1,5448.0,12288.0,500000,Free,0.0,Everyone,Business,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Mango Languages: Lovable Language Courses,EDUCATION,4.0,4815.0,19456.0,500000,Free,0.0,Everyone,Education,"July 17, 2018",0.0,0.0,0.0,0.0,0.0,July,17,2018
Maricopa AH,MEDICAL,4.2,469993.8884224912,29696.0,100,Free,0.0,Everyone,Medical,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3.5,217.0,9625.6,50000,Free,0.0,Teen,Health & Fitness,"August 23, 2017",0.0,0.0,0.0,0.0,0.0,August,23,2017
Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717.0,5529.6,5000,Paid,5.99,Everyone,Medical,"May 31, 2018",0.0,0.0,0.0,0.0,0.0,May,31,2018
"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226.0,28672.0,1000000,Free,0.0,Everyone,Health & Fitness,"March 5, 2018",0.0,0.0,0.0,0.0,0.0,March,5,2018
MeetMe: Chat & Meet New People,SOCIAL,4.2,1259894.0,77824.0,50000000,Free,0.0,Mature 17+,Social,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Meetup,SOCIAL,4.2,79129.0,23552.0,5000000,Free,0.0,Teen,Social,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Meetup,SOCIAL,4.2,79130.0,23552.0,5000000,Free,0.0,Teen,Social,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56642847.0,22032.55340623291,1000000000,Free,0.0,Everyone,Communication,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Minion Rush: Despicable Me Official Game,FAMILY,4.5,10216997.0,22032.55340623291,100000000,Free,0.0,Everyone 10+,Casual;Action & Adventure,"July 12, 2018",0.0,0.0,0.0,0.0,0.0,July,12,2018
"Mint: Budget, Bills, Finance",FINANCE,4.3,129304.0,22032.55340623291,5000000,Free,0.0,Everyone,Finance,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Mobile Doc Scanner (MDScan) Lite,BUSINESS,4.2,46505.0,19456.0,1000000,Free,0.0,Everyone,Business,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
"Moco - Chat, Meet People",DATING,4.2,313724.0,22032.55340623291,10000000,Free,0.0,Mature 17+,Dating,"August 4, 2018",0.0,0.0,0.0,0.0,0.0,August,4,2018
Modcloth – Unique Indie Women's Fashion & Style,SHOPPING,4.2,5121.0,9011.2,500000,Free,0.0,Everyone,Shopping,"July 13, 2018",0.0,0.0,0.0,0.0,0.0,July,13,2018
Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135.0,12288.0,100000,Paid,9.0,Everyone,Medical,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
MoodSpace,MEDICAL,4.5,503.0,22528.0,50000,Free,0.0,Everyone,Medical,"June 10, 2018",0.0,0.0,0.0,0.0,0.0,June,10,2018
Mortgage by Zillow: Calculator & Rates,HOUSE_AND_HOME,4.3,4435.0,8089.6,500000,Free,0.0,Everyone,House & Home,"March 2, 2016",0.0,0.0,0.0,0.0,0.0,March,2,2016
MouseMingle,DATING,2.7,3.0,3993.6,100,Free,0.0,Mature 17+,Dating,"July 17, 2018",0.0,0.0,0.0,0.0,0.0,July,17,2018
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008.0,16384.0,10000000,Free,0.0,Everyone,Entertainment,"June 20, 2018",0.0,0.0,0.0,0.0,0.0,June,20,2018
"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168.0,25600.0,10000,Paid,24.99,Everyone,Medical,"August 11, 2017",0.0,0.0,0.0,0.0,0.0,August,11,2017
Muzy - Share photos & collages,PHOTOGRAPHY,4.4,70189.0,13312.0,5000000,Free,0.0,Teen,Photography,"August 11, 2015",0.0,0.0,0.0,0.0,0.0,August,11,2015
My Class Schedule: Timetable,EDUCATION,4.1,9348.0,22032.55340623291,1000000,Free,0.0,Everyone,Education,"June 1, 2016",0.0,0.0,0.0,0.0,0.0,June,1,2016
My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539.0,58368.0,1000000,Free,0.0,Everyone,Health & Fitness,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
My Dressing - Fashion closet,LIFESTYLE,4.1,12452.0,22032.55340623291,500000,Free,0.0,Everyone,Lifestyle,"January 26, 2017",0.0,0.0,0.0,0.0,0.0,January,26,2017
MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.6,24094.0,18432.0,1000000,Free,0.0,Everyone,Health & Fitness,"July 9, 2018",0.0,0.0,0.0,0.0,0.0,July,9,2018
NBC News,NEWS_AND_MAGAZINES,4.1,63020.0,22032.55340623291,5000000,Free,0.0,Everyone 10+,News & Magazines,"February 13, 2018",0.0,0.0,0.0,0.0,0.0,February,13,2018
NFL,SPORTS,4.1,459795.0,22032.55340623291,50000000,Free,0.0,Everyone,Sports,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
NPR News,NEWS_AND_MAGAZINES,4.0,24790.0,22032.55340623291,1000000,Free,0.0,Everyone,News & Magazines,"July 20, 2018",0.0,0.0,0.0,0.0,0.0,July,20,2018
NYTimes - Latest News,NEWS_AND_MAGAZINES,3.9,63647.0,23552.0,10000000,Free,0.0,Everyone 10+,News & Magazines,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Netflix,ENTERTAINMENT,4.4,5456208.0,22032.55340623291,100000000,Free,0.0,Teen,Entertainment,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Newsroom: News Worth Sharing,NEWS_AND_MAGAZINES,4.2,201737.0,22032.55340623291,10000000,Free,0.0,Everyone 10+,News & Magazines,"July 3, 2018",0.0,0.0,0.0,0.0,0.0,July,3,2018
Nick,ENTERTAINMENT,4.2,123279.0,25600.0,10000000,Free,0.0,Everyone 10+,Entertainment;Music & Video,"January 24, 2018",0.0,0.0,0.0,0.0,0.0,January,24,2018
Nighty Night Circus,FAMILY,4.3,382.0,15360.0,10000,Paid,2.99,Everyone,Education;Action & Adventure,"March 7, 2017",0.0,0.0,0.0,0.0,0.0,March,7,2017
Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534.0,95232.0,10000000,Free,0.0,Everyone,Health & Fitness,"July 18, 2018",0.0,0.0,0.0,0.0,0.0,July,18,2018
Nike+ Run Club,HEALTH_AND_FITNESS,4.4,708710.0,22032.55340623291,10000000,Free,0.0,Everyone,Health & Fitness,"July 12, 2018",0.0,0.0,0.0,0.0,0.0,July,12,2018
Notepad & To do list,PRODUCTIVITY,4.3,226295.0,4300.8,10000000,Free,0.0,Everyone,Productivity,"June 6, 2018",0.0,0.0,0.0,0.0,0.0,June,6,2018
Nova Launcher,PERSONALIZATION,4.6,1121805.0,22032.55340623291,50000000,Free,0.0,Everyone,Personalization,"May 14, 2018",0.0,0.0,0.0,0.0,0.0,May,14,2018
Nurse Grid,MEDICAL,4.5,1686.0,15360.0,100000,Free,0.0,Everyone,Medical,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
O-Star,DATING,4.4,59.0,38912.0,5000,Free,0.0,Everyone,Dating,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
OkCupid Dating,DATING,4.1,285726.0,15360.0,10000000,Free,0.0,Mature 17+,Dating,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
Once - Quality Matches Every day,DATING,4.4,222888.0,21504.0,1000000,Free,0.0,Mature 17+,Dating,"July 17, 2018",0.0,0.0,0.0,0.0,0.0,July,17,2018
Open Camera,PHOTOGRAPHY,4.3,116880.0,2048.0,10000000,Free,0.0,Everyone,Photography,"April 23, 2018",0.0,0.0,0.0,0.0,0.0,April,23,2018
"Orbitz - Hotels, Flights & Package Deals",TRAVEL_AND_LOCAL,4.4,33256.0,22032.55340623291,1000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
PGA TOUR,SPORTS,4.0,11151.0,53248.0,1000000,Free,0.0,Everyone,Sports,"June 27, 2018",0.0,0.0,0.0,0.0,0.0,June,27,2018
PJ Masks: Moonlight Heroes,FAMILY,4.4,86961.0,101376.0,10000000,Free,0.0,Everyone,Casual;Action & Adventure,"June 5, 2018",0.0,0.0,0.0,0.0,0.0,June,5,2018
PMHNP-BC Pocket Prep,MEDICAL,4.4,112.0,13312.0,1000,Free,0.0,Everyone,Medical,"July 12, 2018",0.0,0.0,0.0,0.0,0.0,July,12,2018
PTA Content Master,MEDICAL,4.2,64.0,41984.0,1000,Paid,29.99,Everyone,Medical,"December 22, 2015",0.0,0.0,0.0,0.0,0.0,December,22,2015
Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496.0,96256.0,100000,Free,0.0,Everyone,Education;Education,"July 11, 2018",0.0,0.0,0.0,0.0,0.0,July,11,2018
Paramedic Protocol Provider,MEDICAL,4.5,171.0,20480.0,10000,Paid,10.0,Everyone 10+,Medical,"September 21, 2017",0.0,0.0,0.0,0.0,0.0,September,21,2017
Pedi STAT,MEDICAL,4.6,129.0,2969.6,10000,Paid,5.49,Everyone,Medical,"April 6, 2018",0.0,0.0,0.0,0.0,0.0,April,6,2018
Penn State Health OnDemand,MEDICAL,4.2,469993.8884224912,40960.0,50,Free,0.0,Everyone,Medical,"July 24, 2018",0.0,0.0,0.0,0.0,0.0,July,24,2018
Pinterest,SOCIAL,4.6,4305441.0,22032.55340623291,100000000,Free,0.0,Teen,Social,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Planner Pro-Personal Organizer,PRODUCTIVITY,4.0,10270.0,8601.6,1000000,Free,0.0,Everyone,Productivity,"March 23, 2018",0.0,0.0,0.0,0.0,0.0,March,23,2018
Plants vs. Zombies FREE,GAME,4.4,4067651.0,70656.0,100000000,Free,0.0,Everyone 10+,Strategy,"July 6, 2018",0.0,0.0,0.0,0.0,0.0,July,6,2018
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107.0,22032.55340623291,100000,Paid,2.99,Everyone,Health & Fitness,"December 22, 2015",0.0,0.0,0.0,0.0,0.0,December,22,2015
"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900.0,61440.0,10000000,Free,0.0,Everyone,Productivity,"July 18, 2018",0.0,0.0,0.0,0.0,0.0,July,18,2018
Poshmark - Buy & Sell Fashion,SHOPPING,4.3,46153.0,17408.0,10000000,Free,0.0,Everyone,Shopping,"August 4, 2018",0.0,0.0,0.0,0.0,0.0,August,4,2018
Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875.0,22528.0,1000000,Free,0.0,Everyone,Food & Drink,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL_AND_LOCAL,4.4,48930.0,15360.0,5000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",0.0,0.0,0.0,0.0,0.0,July,26,2018
Puffin Web Browser,COMMUNICATION,4.3,541389.0,22032.55340623291,10000000,Free,0.0,Everyone,Communication,"July 9, 2018",0.0,0.0,0.0,0.0,0.0,July,9,2018
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805.0,22032.55340623291,5000000,Free,0.0,Everyone,Business,"February 26, 2018",0.0,0.0,0.0,0.0,0.0,February,26,2018
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,23175.0,41984.0,1000000,Free,0.0,Everyone,Business,"July 13, 2018",0.0,0.0,0.0,0.0,0.0,July,13,2018
QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,4.6,847159.0,4300.8,10000000,Free,0.0,Everyone,Photography,"November 10, 2017",0.0,0.0,0.0,0.0,0.0,November,10,2017
Quizlet: Learn Languages & Vocab with Flashcards,EDUCATION,4.6,211856.0,22032.55340623291,10000000,Free,0.0,Everyone,Education,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
RT 516 VET,MEDICAL,4.2,469993.8884224912,29696.0,10,Free,0.0,Everyone,Medical,"July 13, 2018",0.0,0.0,0.0,0.0,0.0,July,13,2018
Random Video Chat,DATING,4.0,3.0,16384.0,1000,Free,0.0,Mature 17+,Dating,"July 15, 2018",0.0,0.0,0.0,0.0,0.0,July,15,2018
Random Video Chat App With Strangers,DATING,4.0,3.0,4915.2,1000,Free,0.0,Mature 17+,Dating,"July 17, 2018",0.0,0.0,0.0,0.0,0.0,July,17,2018
Realtor.com Real Estate: Homes for Sale and Rent,HOUSE_AND_HOME,4.5,162243.0,12288.0,10000000,Free,0.0,Everyone,House & Home,"July 26, 2018",0.0,0.0,0.0,0.0,0.0,July,26,2018
Redfin Real Estate,HOUSE_AND_HOME,4.6,36857.0,19456.0,1000000,Free,0.0,Everyone,House & Home,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540.0,44032.0,1000000,Free,0.0,Everyone,Health & Fitness,"February 9, 2017",0.0,0.0,0.0,0.0,0.0,February,9,2017
